# 1st line: name of data. 2nd line: units of data.3rd line: paramter name. 4th line: parameter units.5th line: excitation energy units. 6th line: parameter value. 7th line: excitation energy value.following lines: data.
Time;Filtered photoAcoustic signal
µs;V/µJ
Wavelength;Wavelength
nm;nm
µJ;µJ
720;720
1403.9156936616364;1403.9156936616364
93.164;-1.3069965426333718e-08
93.168;-1.2815669214833899e-08
93.172;-1.2484261856813734e-08
93.176;-1.208519786674501e-08
93.18;-1.1628159709225308e-08
93.184;-1.1122916219705225e-08
93.188;-1.057918540344176e-08
93.19200000000001;-1.0006503461383398e-08
93.196;-9.414101756964805e-09
93.2;-8.810793280058224e-09
93.20400000000001;-8.204869986265834e-09
93.208;-7.604012194277264e-09
93.212;-7.015211014343873e-09
93.21600000000001;-6.444704560372316e-09
93.22;-5.897928470210508e-09
93.224;-5.379481026934137e-09
93.22800000000001;-4.8931029419263004e-09
93.232;-4.441671631811124e-09
93.236;-4.0272095993207094e-09
93.24;-3.6509063162500415e-09
93.244;-3.313152807925669e-09
93.248;-3.0135879559672374e-09
93.252;-2.7511553721797815e-09
93.256;-2.5241695534797208e-09
93.26;-2.330389907783744e-09
93.264;-2.167101145357131e-09
93.268;-2.0311984604102038e-09
93.272;-1.919275884520075e-09
93.276;-1.8277161770863795e-09
93.28;-1.7527806284366036e-09
93.284;-1.6906971878812836e-09
93.288;-1.637745391082144e-09
93.292;-1.5903366472466996e-09
93.296;-1.5450885552362367e-09
93.3;-1.4988920466689087e-09
93.304;-1.4489703012083873e-09
93.308;-1.3929285418725154e-09
93.312;-1.3287939935703648e-09
93.316;-1.2550454731977924e-09
93.32000000000001;-1.1706322713712978e-09
93.324;-1.0749821810560916e-09
93.328;-9.679987237187373e-10
93.33200000000001;-8.500478159892821e-10
93.336;-7.219343060153504e-10
93.34;-5.848689857057544e-10
93.34400000000001;-4.4042685004069096e-10
93.348;-2.904975249280975e-10
93.352;-1.3722891831670648e-10
93.35600000000001;1.7034736652838112e-11
93.36;1.6981918455802202e-10
93.364;3.185894640079879e-10
93.368;4.608208573777637e-10
93.372;5.940700707489373e-10
93.376;7.160452419772802e-10
93.38;8.246734001929044e-10
93.384;9.181640491373255e-10
93.388;9.950676186614746e-10
93.392;1.0543276221624259e-09
93.396;1.0953254711011706e-09
93.4;1.1179170290675418e-09
93.404;1.1224601349085293e-09
93.408;1.1098324847129914e-09
93.412;1.0814394332537008e-09
93.416;1.0392114539472463e-09
93.42;9.855911795156653e-10
93.424;9.235101302470092e-10
93.428;8.563554199709701e-10
93.432;7.879269085214083e-10
93.436;7.223854405626545e-10
93.44;6.641929713475658e-10
93.444;6.180455275575357e-10
93.44800000000001;5.888000833698805e-10
93.452;5.813965460793755e-10
93.456;6.007761400329683e-10
93.46000000000001;6.51797550710866e-10
93.464;7.3915224122922e-10
93.468;8.672803804630935e-10
93.47200000000001;1.040288824872493e-09
93.476;1.2618725748410143e-09
93.48;1.535241081180696e-09
93.48400000000001;1.863050709080419e-09
93.488;2.2473445762250045e-09
93.492;2.689500870497593e-09
93.496;3.190190622347374e-09
93.5;3.749345759631421e-09
93.504;4.366138110861647e-09
93.508;5.038969848904427e-09
93.512;5.765475684087376e-09
93.516;6.542536926314431e-09
93.52;7.3663073432436996e-09
93.524;8.23225054897788e-09
93.528;9.13518846817991e-09
93.532;1.0069360237172156e-08
93.536;1.1028490729410717e-08
93.54;1.2005867730626484e-08
93.544;1.2994426641578037e-08
93.548;1.3986841456242616e-08
93.552;1.497562065256006e-08
93.556;1.5953206543451528e-08
93.56;1.6912076569293326e-08
93.56400000000001;1.784484497055194e-08
93.568;1.874436326167318e-08
93.572;1.96038179349916e-08
93.57600000000001;2.041682385638614e-08
93.58;2.117751187227028e-08
93.584;2.1880609229454737e-08
93.58800000000001;2.252151151428e-08
93.592;2.3096344943619384e-08
