# 1st line: name of data. 2nd line: units of data.3rd line: paramter name. 4th line: parameter units.5th line: excitation energy units. 6th line: parameter value. 7th line: excitation energy value.following lines: data.
Time;Filtered photoAcoustic signal
µs;V/µJ
Wavelength;Wavelength
nm;nm
µJ;µJ
720;720
882.3047147641861;882.3047147641861
176.84;5.4735384496326066e-08
176.844;5.422419888096028e-08
176.848;5.365267384322916e-08
176.852;5.3016723967033546e-08
176.856;5.2311873875826034e-08
176.86;5.153332758049327e-08
176.864;5.0676046310581284e-08
176.868;4.9734833975624094e-08
176.872;4.870442927314267e-08
176.876;4.757960333976085e-08
176.88;4.63552617337476e-08
176.88400000000001;4.502654944293583e-08
176.888;4.358895753302793e-08
176.892;4.2038429989238467e-08
176.89600000000002;4.0371469260309396e-08
176.9;3.858523898919606e-08
176.904;3.6677662409961224e-08
176.90800000000002;3.4647514906159325e-08
176.912;3.2494509262508547e-08
176.916;3.021937219891538e-08
176.92000000000002;2.7823910853624703e-08
176.924;2.531106797983127e-08
176.928;2.2684964736619062e-08
176.93200000000002;1.9950930089441324e-08
176.936;1.711551598608965e-08
176.94;1.4186497639546183e-08
176.94400000000002;1.1172858427360252e-08
176.948;8.084759106113384e-09
176.952;4.9334912368266744e-09
176.95600000000002;1.7314149203543258e-09
176.96;-1.5081188516980618e-09
176.964;-4.770860717878235e-09
176.96800000000002;-8.0417696219758e-09
176.972;-1.1305132724560061e-08
176.976;-1.4544697440780378e-08
176.98;-1.7743814312127333e-08
176.984;-2.0885589250679825e-08
176.988;-2.3953043540607737e-08
176.992;-2.692927984567213e-08
176.996;-2.9797652355279822e-08
177.0;-3.254193910718832e-08
177.004;-3.514651445384598e-08
177.008;-3.75965195929327e-08
177.012;-3.9878029061969083e-08
177.016;-4.197821110259882e-08
177.02;-4.388547983268913e-08
177.024;-4.558963722375727e-08
177.028;-4.708200296708795e-08
177.032;-4.8355530423567854e-08
177.036;-4.9404906988696827e-08
177.04;-5.0226637364061316e-08
177.044;-5.081910840807694e-08
177.048;-5.118263444001211e-08
177.052;-5.1319482089898676e-08
177.056;-5.1233874020373644e-08
177.06;-5.093197109199289e-08
177.064;-5.042183279815257e-08
177.068;-4.971335605631458e-08
177.072;-4.881819270552551e-08
177.076;-4.7749646322925223e-08
177.08;-4.65225492307208e-08
177.084;-4.5153120816619064e-08
177.088;-4.365880853169463e-08
177.092;-4.2058113156943014e-08
177.096;-4.037040014030161e-08
177.1;-3.8615698996866e-08
177.104;-3.68144929337657e-08
177.108;-3.498750100532392e-08
177.112;-3.3155455221645246e-08
177.116;-3.1338875122902525e-08
177.12;-2.9557842390931167e-08
177.124;-2.7831778098256003e-08
177.12800000000001;-2.6179225191728632e-08
177.132;-2.461763877329168e-08
177.136;-2.3163186674169987e-08
177.14000000000001;-2.1830562721572278e-08
177.144;-2.063281496973225e-08
177.148;-1.9581191011170376e-08
177.15200000000002;-1.8685002301141652e-08
177.156;-1.7951509220424826e-08
177.16;-1.7385828371312674e-08
177.16400000000002;-1.699086335158676e-08
177.168;-1.6767259984376458e-08
177.172;-1.6713386701314683e-08
177.17600000000002;-1.6825340485702786e-08
177.18;-1.709697848502394e-08
177.184;-1.7519975101737577e-08
177.18800000000002;-1.808390407154214e-08
177.192;-1.8776344742910644e-08
177.196;-1.958301148434725e-08
177.20000000000002;-2.0487904870053837e-08
177.204;-2.1473483033977557e-08
177.208;-2.252085133979115e-08
177.21200000000002;-2.36099682932798e-08
177.216;-2.4719865426650577e-08
177.22;-2.5828878713925296e-08
177.224;-2.691488893497717e-08
177.228;-2.7955568294722173e-08
177.232;-2.8928630524891824e-08
177.236;-2.9812081649706516e-08
177.24;-3.058446858424225e-08
177.244;-3.1225122755515394e-08
177.248;-3.171439599105736e-08
177.252;-3.203388600734895e-08
177.256;-3.2166648949856976e-08
