# Time, [µs]
# Filtered photoAcoustic signal, [V/µJ]
0.000000000000000000e+00 -1.294382910531212127e+00
4.000000000000000083e-03 -1.283755123518163899e+00
8.000000000000000167e-03 -1.265881337875186530e+00
1.200000000000000025e-02 -1.241050976015432905e+00
1.600000000000000033e-02 -1.209618002123598490e+00
2.000000000000000042e-02 -1.171996574547215619e+00
2.400000000000000050e-02 -1.128656021604456550e+00
2.800000000000000058e-02 -1.080115204795107697e+00
3.200000000000000067e-02 -1.026936340978016338e+00
3.600000000000000422e-02 -9.697183617066906791e-01
4.000000000000000083e-02 -9.090898935076994203e-01
4.399999999999999745e-02 -8.457019473717158897e-01
4.800000000000000100e-02 -7.802204090468568554e-01
5.200000000000000455e-02 -7.133184238367396013e-01
5.600000000000000117e-02 -6.456687704864061406e-01
5.999999999999999778e-02 -5.779363183795526160e-01
6.400000000000000133e-02 -5.107706606787586479e-01
6.800000000000000488e-02 -4.447990132422361964e-01
7.200000000000000844e-02 -3.806194651871955825e-01
7.599999999999999811e-02 -3.187946618990042391e-01
8.000000000000000167e-02 -2.598459951789282019e-01
8.400000000000000522e-02 -2.042483681676531271e-01
8.799999999999999489e-02 -1.524255947757478247e-01
9.199999999999999845e-02 -1.047464847059098453e-01
9.600000000000000200e-02 -6.152165588483414493e-02
1.000000000000000056e-01 -2.300110636285190510e-02
1.040000000000000091e-01 1.062743237911409865e-02
1.079999999999999988e-01 3.923934911467995279e-02
1.120000000000000023e-01 6.277321236744963506e-02
1.160000000000000059e-01 8.123004489210571000e-02
1.199999999999999956e-01 9.467183247274452151e-02
1.239999999999999991e-01 1.032192961885568666e-01
1.280000000000000027e-01 1.070489666475329948e-01
1.320000000000000062e-01 1.063896074470633973e-01
1.360000000000000098e-01 1.015180431716854598e-01
1.400000000000000133e-01 9.275445447787580844e-02
1.440000000000000169e-01 8.045720915111034821e-02
1.479999999999999927e-01 6.501730337144120964e-02
1.519999999999999962e-01 4.685249172522610445e-02
1.559999999999999998e-01 2.640118770114792748e-02
1.600000000000000033e-01 4.116218473552674117e-03
1.640000000000000069e-01 -1.954148131421981627e-02
1.680000000000000104e-01 -4.410915230222207939e-02
1.720000000000000140e-01 -6.912838663146300688e-02
1.759999999999999898e-01 -9.415111706593518037e-02
1.799999999999999933e-01 -1.187453420407055121e-01
1.839999999999999969e-01 -1.425005142530431368e-01
1.880000000000000004e-01 -1.650325259501269903e-01
1.920000000000000040e-01 -1.859882304589932644e-01
1.960000000000000075e-01 -2.050494466560708051e-01
2.000000000000000111e-01 -2.219364008783078768e-01
2.040000000000000147e-01 -2.364105691210152405e-01
2.080000000000000182e-01 -2.482768911278671886e-01
2.119999999999999940e-01 -2.573853370297282117e-01
2.159999999999999976e-01 -2.636318164020037269e-01
2.200000000000000011e-01 -2.669584288544226691e-01
2.240000000000000047e-01 -2.673530644128907507e-01
2.280000000000000082e-01 -2.648483708728085473e-01
2.320000000000000118e-01 -2.595201138740773628e-01
2.360000000000000153e-01 -2.514849635527013905e-01
2.399999999999999911e-01 -2.408977491532267312e-01
2.439999999999999947e-01 -2.279482298395219264e-01
2.479999999999999982e-01 -2.128574360292094236e-01
2.520000000000000018e-01 -1.958736408208204272e-01
2.560000000000000053e-01 -1.772680254173797654e-01
2.600000000000000089e-01 -1.573301058235338501e-01
2.640000000000000124e-01 -1.363629904679687088e-01
2.680000000000000160e-01 -1.146785397557007063e-01
2.720000000000000195e-01 -9.259249887750267693e-02
2.760000000000000231e-01 -7.041967450319253086e-02
2.800000000000000266e-01 -4.846922428277025685e-02
2.840000000000000302e-01 -2.704012541008736503e-02
2.880000000000000338e-01 -6.416884916899020554e-03
2.919999999999999818e-01 1.313445007733888593e-02
2.959999999999999853e-01 3.136992915927588887e-02
2.999999999999999889e-01 4.807093538091856966e-02
3.039999999999999925e-01 6.304698143327126802e-02
3.079999999999999960e-01 7.613803171341326781e-02
3.119999999999999996e-01 8.721632418976713041e-02
3.160000000000000031e-01 9.618767367911784660e-02
3.200000000000000067e-01 1.029922460255941891e-01
3.240000000000000102e-01 1.076048005995793311e-01
3.280000000000000138e-01 1.100344063972113762e-01
3.320000000000000173e-01 1.103236447044188551e-01
3.360000000000000209e-01 1.085473186831311943e-01
3.400000000000000244e-01 1.048106972361086270e-01
3.440000000000000280e-01 9.924732701248607791e-02
3.480000000000000315e-01 9.201645233884954422e-02
3.519999999999999796e-01 8.330008811937138213e-02
3.559999999999999831e-01 7.329979527370046599e-02
3.599999999999999867e-01 6.223321201405063868e-02
3.639999999999999902e-01 5.033039715703331585e-02
3.679999999999999938e-01 3.783004368812976220e-02
3.719999999999999973e-01 2.497562192648918045e-02
3.760000000000000009e-01 1.201151186881740246e-02
3.800000000000000044e-01 -8.208163704141392854e-04
3.840000000000000080e-01 -1.328651663936560728e-02
3.880000000000000115e-01 -2.516092034102437869e-02
3.920000000000000151e-01 -3.623287769819796139e-02
3.960000000000000187e-01 -4.630783876142056943e-02
4.000000000000000222e-01 -5.521063081178330390e-02
4.040000000000000258e-01 -6.278789398952062950e-02
4.080000000000000293e-01 -6.891014267068820698e-02
4.120000000000000329e-01 -7.347342622754697572e-02
4.160000000000000364e-01 -7.640056924697943841e-02
4.199999999999999845e-01 -7.764197794491529969e-02
4.239999999999999880e-01 -7.717600630085769131e-02
4.279999999999999916e-01 -7.500888224130995707e-02
4.319999999999999951e-01 -7.117420092146767296e-02
4.359999999999999987e-01 -6.573199869050544430e-02
4.400000000000000022e-01 -5.876742757974910691e-02
4.440000000000000058e-01 -5.038905603407474454e-02
